,Species_Name,Family_name,Local_name,Common_name,Parts_used,Medicinal_Use
85,Funtumia africana,Apocynaceae,"Akoire, Ako-ire Mbamiri",Male funtum,"Root, stem, leaves","Constipation, wounds, boils,weak bladder, jaundice,antipyretic."
86,Blighia unijugata,Sapindaceae,Ako-isin,Blighia,"Roots,leaves,stem-bark","Diabetes,antipyretic,postnatal haemorrhage"
87,Newbouldia laevis  ,Bignoniaceae,"Akoko,Ogirisi,Aduruku","Tree of life, fertility tree","Bark, leaves, root","Round worms, elephantiasis, dysentery, malaria, convulsions, migraine,cough,yellow fever, stomach-ache, hernia,infertility, ear-ache."
88,Sterospermum acuminatissimum  ,Bignoniaceae,"Akoko-igbo, alakiriti erumyeye",Sterospermum,"Stem-bark,stem-twigs.","Respiratory ailments, venereal diseases, dysentery,toothache"
89,Monodora brevipes,Annonaceae,Ako-lakose,,"Fruit, roots, stem","Venereal diseases, purgative, urethral stricture."
90,Pycnanthus angolensis   ,Myristicaceae,"Akomu,akujaadi","Wild nutmeg,African nutmeg","Leaves, stem bark,roots","Thrush, black tongue, fever, cough, bad breath, anti-bilharzia,lumbago,toothache,rubefacient, Skin infection."
91,Senna obtusifolia  ,Leguminosae(Caesalpiniaceae),"Ako-rere, Epa-Ikun",Foetid Senna,"Leaves, roots","Boils, skin diseases,purgative."
92,Uapaca guineensis,Euphorbiaceae,"Akun, asisa","Uapaca,red cedar, sugar palm","Fruits,roots,bark.","Cough,anthelmintics,abortifacient,aphrodisiac."
93,Cleome ciliata ,Capparaceae,"Akuya-aaja, Ekuya","Wild mustard,cat's whiskers","Leaves, seeds","Earache, convulsions, sores, wounds,boils,anthelmintic,carminative,suppuration."
94,Rungia grandis,Acanthaceae,Alade-oko,,Leaves,Malaria
95,Dorstenia prorepens,Moraceae,"Alaifo, aloifo","Contrayerva,rock begonia,sokotan","Stem twig,leaves","Nephrosis,wound,antipyretic,antimicrobials."
96,Pleiocarpa pycnantha,Apocynaceae,Alatapara,Pleiocarpa,Whole plant,"Angina pectoris, gastrointestinal disorder."
97,Sterculia tragacantha,Sterculiaceae,"Alawefon, Omurin,olofulofulo,omurun,Orotopo,Kukku-kinrafi","Star chestnut,Karaya gum,Indian tracanth","Leaves, root bark","Fever, gonorrhoea, whitlow,convulsion, enema,anthelmintics,astringent, malaria"
98,Schwenkia americana,Solanaceae,"Ale-Odan, Oju-isin, Igbale-odan,Dandana",Schwenkia,"Roots, whole plant","Yellow fever, cough, boils,cardiac tonic"
99,Dichapetalum toxicarium,Dichapetalaceae,"Alo, Itakun, ikunmu-agbo","Gift-blaar,ratsbane","Stem bark, twigs,leaves","Jaundice,poisonous to animals,malaria,cardiac asthma"
100,Allium cepa,Liliaceae,"Alubosa,albasa,yabase,albasa gudaji",Onion,"Bulb,leaves","Cough,diuretic,anthelmintics,skin diseases,weak erection,anti-tumour,rubefacient, throat infection."
101,Allium ascalonicum,Liliaceae,"Alubosa-elewe,albasa maigo","Shallot,spring onion","Leaves, bulb","Convulsion,dysentery."
102,Pancratium trianthum,Liliaceae,"Alubosa-Oloko,Hatsin manoomaa",Pancratium lily,Bulb,"Visual hallucination,convulsion,cold."
103,Synedrella nodiflora  ,Compositae,"Aluganbi, Tanaposo.",Synedrella,"Leaves,whole plant","Leprosy, cardiac troubles,sores, skin infection."
104,Asparagus africana,Liliaceae,"Aluki,sarka","Asparagus, Aye-kosun",Whole plant,"Antimicrobials,sores,kidney diseases,diuretics."
105,Griffonia simplicifolia,Leguminosae,"Alukoko, Tapara, arin, Olobahun",Griffonia,"Roots, leaves","Bone-fracture, congestion,sedative,aphrodisiac,appetite suppressant for weight loss."
106,Uraria picta  ,Leguminosae,"Alupayida,Kaskaifi","Alupayida,dabra",Leaves,"Snake-bite, antidotes,aphrodisiac,repositioning foetus intra-uterine."
107,Brysocarpus coccineus  ,Connaraceae,"Amuje wewe, ade,Kimbar maharbe,Oka abole,Mgba apepea",Crimson thyme,"Root, leaves","Jaundice, pile, gonorrhoea,venereal disease,impotence,anti-tumour,ulcer"
108,Senecio abyssinicus,Compositae,Amunimuye,Ragwort,Root,"Syphilis, yaws,  rheumatism, cuts, skin diseases."
109,Strycnos nux-vomica  ,Loganiaceae,"Angboroko, Atako,Kokiya",Poison nut tree,"Leaves, roots, seeds","Constipation, worms,nervous diseases, hysteria, diarrhoea, cholera, dysentery, gastro-intestinal disorders,anaemia,poison."
110,Boscia senegalensis,Capparidaceae,Anza,,"Leaves, fruit, root","Malaria, jaundice, wound, stomachache, aphrodisiac, venereal diseases, diabetes."
111,Anthocleista vogelii,Loganiaceae,"Apa oro,sapo,kwari",,"Seeds,bark","Antidote for snake bite,purgative"
112,Catharanthus roseus,Apocynaceae,Apabida pupa,Rose perinwinkle,"Leaves,whole plant","Diabetes, hypertension, antileukaemic properties, antitumour,dysentery,menorrhagia"
