,Species_Name,Family_name,Local_name,Common_name,Parts_used,Medicinal_Use
479,Rhigiocarya racemifera,Menispermaceae,Lagbolagbo,Rhigiocarya,"Leaves, seeds","Sedative, aphrodisiac"
480,Gouania longipetala,Rhamnaceae,Laghosa,,"Stem, twigs",Gum infection
481,Tephrosia densiflora,Leguminosae,"Lakuta, agba odo,Majimfa",Tephrosia,"Leaves, seed","Bilharzia, cough,diuretic,skin diseases,abortifacient."
482,Lawsonia inermis,Lythraceae,"Lali , Laali.Lallee",Hennaplant,"Leaves, flowers,bark","Spermatorrhoea, jaundice, gonorrhoea, leucorrhoea, ulcers, menorrhagia,astringent,skin diseases, malaria."
483,Hexalobus crispiflorus.,Annonaceae,"Lapawe, Apara,Oji ogoda",Hexalous,"Roots, whole plant","Gonorrhoea,cough, malaria,"
484,Ricinus communis  ,Euphorbiaceae,"Lara, laa, ewe-laa, lapalapa adete,Laa-funfun,Ogiri,Zurma","Castor oil plant,castor beans","Seeds, leaves, root","Itch, ring worm, purgative, flatulence, lumbago,emollient,toothache."
485,Psorospermum febrifugum,Guttiferae,Legun-oko,"Psorospermum, baushen fadama.","Flowers,bark,roots","Antipyretic,anthelmintics,astringent,skin diseases,anti-tumour,convulsion,ulcer"
486,Asystasia gangetica  ,Acanthaceae,"Lobiiri,inana,Ntiaturu","Senegal tea tree,orange hawkweed,chinese violet",Whole plant,"Antidote for snake bite,astringent,antipruritic,piles,urethral discharge,analgesic properties,antifungal,urological disorders"
488,Ritchiea brachypoda,Capparaceae,Logbokiya,,Roots,"Aphrodisiac,gonorrhoea,eye infection."
489,Gnidia kraussiana,Thymelaeceae,"Mada,sungoje,samberu,tururibi.",,"Root, leaves","Skin diseases, leprosy, dysentery, diarrhoea, nasal discharge, purgative."
490,Hygrophila auriculala,Acanthaceae,Mafowo kauruonu bayin giwaa,,Whole plant,"Blennorrhoea, craw-craw, bacteriostatic, diuretic."
491,Hygrophila auriculata,Acanthaceae,Mafowo kauruonu bayin giwaa,,Whole plant,"Biennorrhoea, craw-craw, bacteriostatic, diuretic."
492,Hygrophilia auriculata,Acanthaceae,Mafowokanmi,Hygrophilia,"Whole plant,roots","Diuretic,skin infections,urinary disorders,antipyretic,demulcent,stomachache"
493,Mangifera indica  ,Anacardaceae,"Mangoro,Mangwaro,mangolo",Mango tree,"Leaves, root, stem bark","Malaria, diarrhoea, diabetes, skin lesions, high blood pressure, haemorrhage,emmenagogue,insomnia,insanity,anthelmintics,antimicrobials,astringent,asthma,cough "
494,Celosia laxa,Amaranthaceae,"Marugbo sanyantan, Ajemawofo,Mannafaa",Celosia,Leaves,"Antiscorbutic, purgative"
495,Ambrosia maritima,Compositae,"Matsermama,markarfo",,Whole plant,"Syphilis,hypertension,anti-tumour,stimulant"
496,Celastrus paniculatus,Celastraceae,Mawo Olule,Staff tree,"Bark,roots",Abortion
497,Mentha piperata,Lamiaceae,Mintii,Peppermint,Whole plant,"Mouth wash,stomachache,chestpains, respiratory infections."
498,Cuscuta australis  ,Convolvulaceae,"Mologinigini,ganagana,ominsinminsin-gogoro,Soyyaya","Dodder, devil’s root",Whole plant,"Laxative, kidney, liver disease, sores,laxative,astringent,anthelmintic,measles"
499,Gloriosa superba,Liliaceae,"Mora, ewe-aje,akalamagbo,Obara okpa,Baurere","Gloriosa,climbing lily,glory lily","Tubers, leaves","Gonorrhoea, head lice, rheumatism,purgative,antiperiodic,stomachic tonic."
500,Dichapetalum baneri,Chailletiaceae,Ngbu ewu,Good killer,Seeds,"Cough, rheumatism, bachache"
501,Passiflora foetida,Passifloraceae,"Nine-nine,Ahe enyi",Stinking passion flower,"Roots,leaves,fruits","Hypertension,cough,emmenagogue,antispasmodic,sedative."
502,Ouratea flava,Ochnaceae,Nkanka,Ochna,"Leaves, fruits","Laxative,vitamins"
503,Polygonum senegalense,Polygonaceae,Nome nruwa,,Whole plant,Small pox
504,Milletia zechiera,Legumonsae,Nousu ufo,,"Leaves, stem bark","Upper respiratory tact diseases, sorethroat, pains."
505,Pachypodanturum staudtii,Annonaceae,Ntoko neto,Pepper tree,"Stem, bark, roots","Gastro-intestinal pains, headache, chest pains, verifuge"
506,Caloncoba echinata   ,Flacourtiaceae,Ntuebi,"Caloncoba,Gorli","Bark,roots,seeds,stem exudate",Skin infections
507,Ficus vogelii,Moraceae,Oba-Odan,,"Bark, fruit, latex","Wound, diarrhoea, dysentery, boils"
508,Crinum jagus,Amaryllidaceae,"Obase, Ogede-Odo,Ede obase, Albasar kwadi","Frest crinum, poison bulb","Bulb, Leaves","Chronic cough, tuberculosis, rheumatism,emetic,whitlow,anthelmintics,purgative,rubefacient"
509,Cola acuminata,Sterculiaceae,"Obi abata,Oji",Abata kola nut,Fruit nuts,"Stimulant, fever, malaria."
510,Cola nitida,Sterculiaceae,Obi gbanja,Kola,"Stem bark, seed, kernel","Diarrhoea, stimulant,diuretic,cardiac tonic,eye trouble"
511,Cola millenii  ,Sterculiaceae,Obi-edun,Monkey Kola,"Leaves,fruits.","Ringworms, scabies, gonorrhoea, dysentery,ophthalmia"
512,Myriantus arboreus ,Moraceae,"Obisere,ewe-ade,ibishere,Ujuju",Myriantus,Bark,"Dysentery,anthelmintics,cough,antitumour"
513,Clausena anisata ,Rutaceae,"Oboku, agbasa, atari-obuko",Clausena,"Leaves, roots,bark","Cough, cold, abdominal pain, asthma, bronchitis,dysentery, arthritis,lumbago,malaria,anthelmintics,laxative,toothache."
514,Aframomum sceptrum,Zingiberaceae,"Oburo-etu,oboro,oguro",Bear berry,"Seeds,leaves","Measles,smallpox,lumbago,stimulant."
515,Aframomum granum-paradisi,Zingiberaceae,Oburo-wawa,Afromum lilies,Roots,Anthelmintics
516,Ficus thonningii  ,Moraceae,"Odan abaa,opoto,aba-odan ,Guluba","Wild fig,fiddle leaf fig",Bark,"Wounds,fevers,dysentery"
517,Ficus mucuso,Moraceae,"Odan-afomo,Ediso, Obobo,Jan bauree",Fig,Bark of stem,Insomnia
518,Justicia flava  ,Acanthaceae,"Odian, Oridun",Bankas,Whole plant,"Fungal skin diseases,malaria,stomach disorder,haematuria"
519,Allamanda cathartica,Apocynaceae,Ododo-alamanda,"Yellow allamanda,angel's trumpet,butter-cup,golden trumpet",Roots,"Antimicrobials,malaria,dysentery,cathartic."
520,Cosmos sulphureus,Asteraceae,Ododo-imiesu,"Yellow cosmos,sulphur cosmos","Leaves, flowers","Antimicrobial,wounds,astringent,colourant. "
521,Calendula officinalis,Compositae,Ododo-Maria,Marigold,"Leaves,roots","Ulcer,astringent"
522,Ipomoea involucrata,Convolvulaceae,"Ododo-odo,ododo-oko,alukerese,Duman kwaadii",Morning glory,Leaves ,"Convulsions,purgative,eye drops,asthma,arthritis,antipyretic,yellow fever,filariasis,gynaecological diseases,gonorrhoea."
523,Helianthus annus,Compositae,Ododo-orun,Sunflower,"Seeds,leaves","Diuretic,pulmonary disorders,expectorant"
524,Kalanchoe crenata  ,Crassulaceae,"Odundun, Eti,eleti,Onwa","Never die, Dog’s Liver,kalanchoe","Leaves, roots,whole plant","Smallpox, convulsion, gonorrhoea, rheumatism,ear problem, chronic cough, headache,wounds,asthma,palpitation,mental disorder,anthelmintics."
525,Emilia coccinea,Compositae,"Odundun-owo, odundun-okun,Ogbunizu,nte -ana","Tassel flower,scarlet tassel flower","Leaves, sap, roots.","Ulcers, craw-craw, abscesses of the breast, yaws, lice, ringworm, febrifuge, syphilis, hernia, gonorrhoea, measles,cough,salad."
526,Ipomoea batatas  ,Convolvulaceae,"Odunkun, anamo,kunkundukun,Dankali,Ekomako,Jioyibo",Sweet potato,"Leaves,tuber.","Boils, wounds, bronchial asthma,purgative,breast swelling,diabetes,antimicrobials."
527,Cyperus esculentus  ,Cyperaceae,"Ofio, omu,Aya aya","Nut grass, tiger nut,papyrus,yellow nutsedge.",Whole plant,"To induce vomiting,diuretic,anthelmintics,carminative,menstrual disorders."
528,Securidaca longepedunculata ,Polygalaceae,"Ofodo, Ipeta,Epeta,Sanya,Umarmagunguwu","Violet tree,mother of all medicines.","Leaves, root, stem bark, fruits","Venereal diseases, rheumatic joints, diabetes,convulsion, fever, anti-inflammatory ,diuretic,vermifuge,purgative,toothache,aphrodisiac,abortifacient."
529,Mansonia altissima  ,Sterculiaceae,"Ofun, Otutu",Mansonia,Stem bark,"Constipation, leprosy.,aphrodisiac"
530,Tetrochidium didymostemon,Euphorbiaceae,"Ofun,ofun-oke",,Bark,"Antipyretic,purgative,thrush,toothache"
531,Quisqualis indica ,Combretaceae,"Ogan funfun, ogan-igbo,ata.",Rangoon creeper,"Fruit, seed","Anthelmintic,emetic,aphrodisiac,ulcers,boils"
532,Combretum paniculatum,Combretaceae,"Ogan, okan",,Twigs,"Jouts pains, black tongue, appetizer, febrifuge."
533,Combretum mucronatum  ,Combretaceae,"Ogan,Ogolo,Fara geza",Combretum,"Leaves, root","Wounds, cough,  dysentery,anthelmintic,antimicrobials,biliousness,antipyretic"
534,Sabicea calycina,Rubiaceae,"Ogan-aparo,osan -aparo,Anyamiriakwe",Sabicea,Leaves,Topical application for rheumatism and rheumatism
535,Lasiodiscus mildbraedi,Rhamnaceae,Ogan-funfun,,Stem,Oral hygiene
536,Khaya ivorensis,Meliaceae,"Oganwo,Ono,Madachi",African mahogany,"Stem, root, barks","Malaria, Jaundice,anthelmintic,emetic,emmenagogue,skin diseases,anaemia,arthritis"
537,Cissus quadrangularis,Vitaceae,"Ogbakiiki,Da'ddori",Stemmed vine,"Tuber,stem","Caries,dysmenorrhoea,urinary disorders"
538,Hypoestes forskalei,Acanthaceae,Ogbigbo,Hypoestes,Whole plant,Skin infections
539,Parquetina nigrescens,Periplocaceae,Ogbo,African parquetina,"Leaves,latex,bark,roots","Gonorrhea,skin diseases,menstrual disorders,cardiac tonic,dysentery, Blood tonic."
540,Ipomoea asarifolia,Convolvulaceae,"Ogbo oro ayaba, ewe-gboro,Duman kadaa",Morning glory,"Whole plant, leaves, flowers","Haemorrhage, urinary problem,purgative,syphilis."
541,Aulacocalyx jasminiflora,Rubiaceae,Ogbondo,,Twigs,Toothache
542,Avicennia africana,Avicenniaceae,"Ogbun, Ofun",Black Mangrove,"Leaves, stem, twigs","Abortifacient,detergent"
543,Musa paradisiaca,Musaceae,"Ogede agbagba,Ayaba,Ojioko,Ogadejoioke",Plaintain,"Leaves, roots, fruits","Diarrhoea, dysentery, epilepsy, wounds, goiter, gonorrhoea,anaemia, venereal diseases,haemostatic,diabetes,anthelmintics,abortifacient,oligospermia, malaria."
544,Musa sapientum,Musaceae,"Ogede were,Agade",Banana,"Leaves,fruits","Jaundice,mental disorders,typhoid fever,diarrhoea, malaria."
545,Jatropha multifida,Euphorbiaceae,Ogege,,Sap,Coated tongue
546,Deinbollia pinnata  ,Sapindaceae,"Ogiri-egba, Ekusi-Oloko",Water willow,"Leaves, root","Cough, bronchial asthma.,aphrodisiac"
547,Hilleria latifolia,Phytolaccaceae,"Ogo, tarzan-igbo,zoro-igbo,Akaato",Bush tarzan,"Leaves,whole plant","Breast cancer,urethral discharge,purgative,headache,anthelmintic,skin diseases"
548,Dalbergia saxatilis,Leguminosae,"Ogundu, Paran,runhun zaki,Obunzizi",Flat bean,"Leaves, bark, roots","Cough, small pox, skin lesions, bronchial ailments,toothache"
549,Schumanniophyton magnificum,Rubiaceae,Ogunfe,Ogunfe,Bark,Antisnake
550,Raphia hookeri,Palmae,Oguro,Raffia palm,Leaves,"Measles,promotes lactation,extracting agent"
551,Ficus vallis-choudae,Moraceae,"Oguro, Ogunro,Dulu",Umbrella thorn ,"Leaves, stem, latex","Jaundice, gastro-intestinal disorders,anthelmintic,astringent,skin disorders"
552,Brillantaisia nitens,Acanthaceae,Ogwumadibia,,Leaves,Diarrhoea
553,Sansevieria liberica  ,Agavaceae,"Oja-ikoko, Pasan-ikooko,Mooda,Ebube age",Bowstring hemp,"Leaves, roots","Diarrhoea, abdominal pains, haemorrhoids, menorrhagia, gonorrhea, eczema, pile, snake bite,impotence,asthma,high blood pressure."
554,Dalbergia lactea,Leguminosae,"Ojiji, abinrere",Flat bean,"Bark, stem-dust","Pimples,anthelmintic,ease labour"
555,Pistia stratiotes  ,Araceae,"Oju oro,Kainuwaa","Water lettuce,nile-cabbage",Whole plant,"Skin rashes, boils, sores,colds"
556,Rytigynia rubra  ,Rubiaceae,Oju-eja,Rytigynia,Leaves,"Ulcers of feet, wounds."
557,Mallotus oppositifolius ,Euphorbiaceae,"Oju-eja, Jeja,iya-dudu,orokoro,Kpokokwa,K'afar mutuwa",Indian kamila,"Leaves, roots, fruits.","Tapeworms, ringworm, pimples, bruises,astringent,anthelmintic,tonic,haemostatic."
558,Morinda morindioides ,Rubiaceae,Oju-Ologbo,Morinda,"Root, bark, leaves, fruit","Fever, jaundice, asthma, dysentery,colic,emmenagogue,vermifuge,constipation"
559,Abrus precatorius ,Leguminosae,"Oju-ologbo,omisinminsin,mesenmesen,iwere-jeje,Olorun yin-ni,otoberebere,idonzakara","Crab’s eye,rosary pea,love nut,jequirity","Root, leaves,seeds","Colds,cough, convulsion, rheumatism, conjunctivitis,contraceptive,antimicrobials,aphrodisiac,ulcer,anaemia,antidote poison"
560,Sorghum bicolor,Poaceae,"Okababa,oka-pupa,Damungeri","Millet,guinea corn.","Leaves,whole plant,grains.","Malaria,blood tonic,fever"
561,Combretum racemosum ,Combretaceae,Okan,Bush willow,Twigs,"Black tongue, appetizer, weakness,antipyretic"
562,Aristida adscensionis,Poaceae,"Oka-olongo,garasa",,Whole plant,Improves lactation
563,Tylophora dahomensis,Asclepidiaceae,Okashi nwanzu,Country ipecacuanha,"Leaves, stem, root","Measles, smallpox, emetic, expecdorant,blood purifier, diphoretic astringent, chronic bnronchitis, skin diseases, syphilis, appetiser,."
564,Mitragyna inermis  ,Rubiaceae,"Okobo,Giyeya",African Linden,Bark,"Dysentery, leprosy,antipyretic,diuretic,gonorrhoea."
565,Setaria megaphylla,Poaceae,"Oko-esin,ponripon-omi",Setaria,"Roots,leaves","Venereal diseases,antipyretic,local anaesthetics,haemostatic,mental disorders"
566,Lovoa trichilioides  ,Meliaceae,"Okoko-igbo, Epo-ipa.",Walnut,Stem bark,"Yellow fever, cough, stomachache,anthelmintic"
567,Cola Caricifolia,Sterculiaceae,"Okokoro, Ogugu,", Monkey kola,Leaves,"Eye infection, Ringworm."
568,Phoenix dactylifera ,Palmae,"Okun, Ekikun,Kijinjiri",Date palm,"Fruits, sap,leaves","Genito-urinary disorders, cough, asthma, fever, gonorrrhoea,demulcent"
569,Hildegradia barteri,Sterculiaceae,"Okurugbedu,Kariya",Hildegradia,Bark,Epilepsy
570,Garcinia afzelii  ,Guttiferae,Okuta,Mangostreen,Stem-twigs,"Dysentery.aphrodisiac,oral thrush,toothache"
571,Polygala arenaria,Polygalaceae,"Okuta pupa,osanyin-efon,Hankakidako,",African Milkwort,"Roots,leaves","Purgative,astringent,wound cut"
572,Garcinia manni,Guttferae,"Okuta, Okok",,"Root,stem",Diuretic
573,Rinorea dentata  ,Violaceae,Oloborobo,Rinorea,Stem,ophthalmia
574,Mammea africana,Guttiferae,"Ologbomodu,Ekpili",Mammea apple,"Root bark, stem-exudate,fruit,bark.","Parasitic skin diseases, syphilis,convulsion,dysmenorrhoea.."
575,Erythrina senegalensis,Leguminosae,"Ologbosere,lakale,Majiriya,echichi","Parrot tree,coral tree","Leaves, bark, seeds,roots.","Anthelmintics,cathartic,dysentery,antipyretic,emmenagogue,galactogue"
576,Psychotria guineensis  ,Rubiaceae,Olomi,Pschotria,"Roots, leaves, seeds","Pyrrhea, cough, amoebic dysentery, boils."
577,Thevetia neriifolia,Apocynaceae,"Olomiojo,Ode iye","Bush milk,yellow oleander,still tree","Bark, kernel,leaves","Cardiac disorders, fever, ringworms, wasp bites,measles."
578,Cylicodiscus gabonensis  ,Leguminosae,"Olosan, Aja-igi","Denya,okan",Bark,"Diarrhoea, dysentery"
579,Conyza sumatrensis,Compositae,Olowojeja,Conyza,whole plant,"Antipyretic,asthma,tuberculosis"
580,Cordia millenii  ,Boraginaceae,Omo,African cordia,Stem bark,"Fever, cough, stomachache,mild tonic,astringent,toothache"
581,Cassytha filiformis,Lauraceae,"Omoniginigini,omonigele-gele,sulunwahi.","Devil's gut,parasitic vine",Stem twigs,"Anthelmintics, antimicrobials, antifungal"
582,Ipomoea fistulosa,Convulvulaceae,Omo-ureuebo,Bush morning glory,"Leaves, twigs","Toothache, mouthwash."
583,Vitex doniana  ,Verbenaceae,"Oori-nla, oori ,Dinyar,Uchakoro","Black plum,dinya","Leaves, roots, stem bark","Cough, stomach-ache, ringworm, inflammatory swelling of joints, fever, rheumatism, bad breath,diarrhoea,catarrh,sleeping sickness.."
584,Antiaris africana,Moraceae,"Ooro, Oriro, Ayo, farin loko,ojianwu,ajagha -dibia","False iroko,oroo,upas tree,black mulberry,bonobo","Stem-bark, root bark,sap","Epilepsy,lumbago,skin irritant,purgative,nervous disorders"
585,Xylopia vilosa,Anacardiaceae,Opalufun-dudu,,"Stem bark, leaves","Cold, fever, embrocation."
586,Bambusa vulgaris,Poaceae,"Oparun,Atosi",Bamboo,"Leaves,young shoots","Gonorrhoea,abortifacient,a,nthelmintics,emmenagogue,skin rashes of HIV/AIDS"
587,Elaeis guineensis,Palmae,"Ope, igi-ope,Nkwe,Ake,Kwakwar",Red oil palm,"Root, palm oil,bark,kernels","Malaria, mental disorders,diarrhoea,asthma,measles."
588,Cyrtosperma senegalense,Araceae,"Ope-igbo,igooha",Swamp-arum,"Leaves,rhizome,fruits","Cough,ease labour,astringent,ulcer,gonorrhoea."
589,Dracaena manni,Dracaenaceae,"Ope-kannakanna, peregun,Akuku",Dracaena,"Roots,leaves,fruits","Skin diseases,antimicrobials,stomachache,caries."
590,Schrobera arborea,Oleaceae,Opele,,"Inner bark,stem sap,roots,fruits,root-bark","Toothache, sore-throat"
591,Ananas comosus ,Bromeliaceae,"Ope-Oyinbo,ekunkun,ehin-ahun,abarba,nkwe aba",Pineapple,"Unripe fruit, juice,ripe fruit","Digestive problems,typhoid fever,cough,anthelmintics"
592,Nauclea diderrichii ,Rubiaceae,"Opepe,Uburu,Tafashiya","Opepe,African peach tree","Root, stem bark, fruit","Gonorrhoea, antimalaria, appetizer, piles,dyspepsia, rheumatism, dysentery,febrifuge"
593,Mauclea vanderguchnii,Rubiaceae,Opepe-ira/Oro,,"Stem, bark, roots",Bathing sick child
594,Nesogordonia papaverifera  ,Sterculiaceae,"Opepe-ira/Oro,Otalo",Danta,Twigs,"Dysentery, toothache,pregnancy booster."
595,Tetracera alnifolia,Dilleniaceae,Opon,Cup of water,"Leaves, twigs, roots,stem-sap","Rheumatism, backache, gonorrhoea, ricketts, enema,antipyretic,aphrodisiac,diarrhoea,skin diseases,eye trouble."
596,Ficus capensis,Moraceae,"Opoto,Farin bauree,Anwerenwa","African mustard tree,fig tree","Leaf, stem, root, fruits","Dysentery, oedema, leprosy, epilepsy, ricketts,emollient,astringent,infertility,increase lactation,respiratory disorders,gonorrhoea."
597,Grewia pubescens  ,Tiliaceae,Oraigbo,Raisin,"Stem, leaves","Dysentery, gastro-intestinal disorder,antidote for snake bite,boils,emollient"
598,Grewia venusta,Tiliaceae,"Oraigbo,oro,Dargaza",Raisin,"Leaves, twigs, stem bark","Fever, boils, wounds,colic,anti-diarrhoea,ease of labour"
599,Clerodendrum paniculatum,Verbenaceae,"Ora-ojola, adabi",Garden quinine,"Roots, leaves","Antipyretic, anthelmintics,venereal diseases, rheumatism,malaria"
600,Canarium schweinfurthii  ,Burseraceae,"Origbo, Paapo,agbabubu,atile, Mbiji","African elemi,aiele,bush candle tree",Bark,"Black tongue, round worm, gonorrhoea,stomach disorders"
601,Diospyros canaliculata  ,Ebenaceae,"Oriloje, Owe",Date plum,"Bark, leaves","Leprosy, antimicrobials,anthelmintics,abortifacient,cardiac tonic."
602,Irvingia gabonensis  ,Irvingiaceae,"Oro (Ogbono),Gooron birii","Wild mango,bread tree",Leaves,Spleen Infection.
603,Euphorbia unispina,Euphorbiaceae,Oro adete,Cactus,Exudate,"Antidote for snake bites, fractures,skin diseases,antihelmintics"
604,Euphorbia deightonii,Euphorbiaceae,Oro agogo,Euphorbia,Leaves,Woman Sterility
605,Euphorbia laterifolia,Euphorbiaceae,"Oro were, enuopiri","Scutellann,little cactus","Leaves,exudate","Dermatosis, infertility, anthelmintics constipation, convulsive fevers"
606,Euphorbia kamerunica,Euphorbiaceae,"Oro,ukoko,oro-alagogo",Fence Cactus,Latex.,"Topical application to aid umbilical cord drop-off,warts,anthelmintics,purgative"
607,Opuntia dillenii,Cactaceae,Oro-agogo,Prickly pear,"Stem,fruits,exudate.","Guinea worms,abscesses, gonorrhoea, asthma, whooping cough,purgative,astringent."
608,Allanblackia floribunda  ,Guttiferae,"Orogbo erin,egba,nkpukpotiri",Fallow tree,"Root, leaves, stem-bark, fruit","Malaria, dysentery, toothache, chicken pox small pox, measles"
609,Pentadesma butyracea  ,Guttiferae,"Orogbo erin,iroro,Oze","Butter tree,tallow tree",Seeds,Anthelmintic
610,Garcinia kola,Guttiferae,"Orogbo,Adi,Akuilu",Bitter kola,"Seeds, root, stem-bark,fruits.","Antimicrobials,dysentery, tumours, bronchitis, cough, fever,toothache, throat and respiratory ailments,liver disorders,headache,evacuant, Anti-cancer."
611,Elaeophorbia drupifera ,Euphorbiaceae,"Oroigi, oroonigi",Asthma plant,"Leaves, stem bark,roots,latex","Intestinal parasities,fever,measles,purgative,warts,epilepsy,asthma,analgesic,skin diseases."
612,Asystasia calyciana,Acanthaceae,Orole,,Leaves,"Skin diseases,weak erection,headache,childhood yaws"
613,Ekebergia capensis  ,Meliaceae,"Oronu, madachin","Cape ash,essenhout","Leaves, roots,bark","Fever, epilepsy, haemolytic,sinusitis,purify blood,insomnia, malaria."
614,Trephrosia purpurea,Leguminosae,Ororo,Purple Tephrosea,"Leaves, stem bark, root, seeds","Cough, skin diseases, astringent, bronchitis, asthma diseases of liver and spleen."
615,Tabernaemontana pachysiphon,Apocynaceae,"Oroto, Dodo,Pete-pete",Cow-tree,"Leaves, root, stem bark","Tertiary syphilis, leprosy, stimulant,aphrodisiac."
616,Pyrenacantha staudtii,Icacinaceae,"Oroto-agba,iru okete,orokotomu",Pyrenacantha,"Stem,rootbark,leaves","Cancer,malaria,threatened abortion,gastrointestinal disorders."
617,Spathodea campanulata ,Bignoniaceae,"Oruru,mojutoro,Imi ewu","African tulip,Scarlet bells","Leaves, flowers, bark","Gonorrhoea, urethral inflammations,ulcer,arthritis, guinea worms, dysentery, antiseptics, oedema, skin eruption."
618,Morinda lucida  ,Rubiaceae,"Oruwo, eruwo,Eze ogu ,Njisi",Brimstone-tree,"Leaves, stem bark, root bark","Malaria, diabetes, heart diseases,purgative,emetic,diuretic,jaundice,flatulence, Anti-cancer."
619,Citrus paradisi,Rutaceae,"Osan gerepu, osan paya.",Grape fruit,"Rind/external coat,seeds,fruit","Antimicrobials,diabetes,astringent,emollient,demulcent, malaria."
620,Citrus aurantium,Rutaceae,"Osan, orombo-igun,gangan,Olomaoyibo,Babbaan leemu","Bitter orange,sour orange","Juice, roots, oil","Cough, sore throat, stomachache,anthelmintics,malaria,carminative,typhoid fever."
621,Triclisia subcordata,Menispermaceae,"Osan-aparo, Alugbinnrin Alugbon-on-ran",Triclisia,"Leaves, shoots, fruits,roots","Diabetes, obesity, anaemia, oedema of legs,malaria."
622,Chrysophyllum albidum,Sapotaceae,"Osanbalumo, Agbalumo",African star apple,"Bark, leaves","Fever,stomachaches,antiperiodic"
623,Citrus limon,Rutaceae,"Osan-laimu,oroma-nkirir,Babban leemui",Lemon,"Fruits,leaves,bark,roots","Antipyretic,cold,stomachic"
624,Citrus sinensis  ,Rutaceae,"Osanmimu, orombo didun",Sweet orange,"Twigs,stem bark,fruits","Dysentery, fever, headache,antimicrobial agent,anthelmintics,toothache,antiscorbutic"
625,Citrus aurantifolia  ,Rutaceae,"Osan-wewe,Dankabuya,Afotanta,Epe nkirisi","Lime,swing","Leaves, stem, root, fruit","Fever, jaundice,antimicrobials abdominal ulcer, gonorrhoea,carminative,hypertensive recipe,flavouring agent,measles,cough,toothache,anthelmintics,scurvy."
626,Adansonia digitata  ,Bombacaceae,"Ose,Igi-ose,kukaa,kulambali",Baobab,"Leaves,fruit pulp,bark","Malaria, asthma,diarrhoea, kidney and bladder diseases, demulcent, prophylactic,antihistaminic,skin diseases,caries,antimicrobial."
627,Sterculia setigera,Sterculiaceae,"Ose-awere,kukuki",Sterculia gum,"Leaves, exudate","Gastro-intestinal disorders, boils, diarrhea, dysentery ,ulcer"
628,Flacourtia flavescens,Flacourtiaceae,Osere,Flacourtia,"Leaves, root","Asthma, bronchitis, catarrhal condition,antibacterial,astringent,diaphoretic,antiperiodic,toothache."
629,Nymphaea lotus  ,Nymphaeceae,"Osibata,Bado,Mkpokpomere",Water lily,Whole plant,"Vomiting,astringent,antiseptic,demulcent,sedative,rheumatic pains, Anti-tumour."
630,Oxyanthus tubiflorus  ,Rubiaceae,"Osodun,Ezelugbogan",Afroloquat,Whole plant,"Fever,antiscorbutic,biliousness,warts,opacity,toothache"
631,Enantia chlorantha  ,Annonaceae,"Osopupa, Awopa,dokita-igbo,Kakerim",African yellow wood,Bark,"Typhoid fever,malaria,antimicrobials, jaundice, rickettsia,infective hepatitis,haemostatic,uterus stimulant,ulcer."
632,Solanum aethiopicum ,Solanaceae,"Osun,todo","African egg plant,cleome","Leaves, fruits,twigs","Digestive disorders,carminative,sedative,laxative."
633,Pterocarpus osun  ,Leguminosae,"Osun,Ubie",Bloodwood,"Root, stem bark","Asthma, fungal and bacterial skin infections, eczema, acne, candidiasis,antipyretic."
634,Bixa orellana,Bixaceae,"Osun-buke,ulla,Ufie","Bixa,arnatto dye plant,ornatus,arnatoo,lipstick plant.","Fruits,seeds","Malaria, fever,astringent,kidney diseases,skin diseases."
635,Carpolobia lutea  ,Polygalaceae,"Osunsun,Uziza,Aghba -awa",Cattlestick,"Leaves, bark","Rheumatism,aphrodisiac,toothache"
636,Drypetes chevalieri,Euphorbiaceae,Osunsun-iro,Drypetes,Leaves,"Cough,asthma,bronchitis"
637,Cajanus cajan  ,Leguminosae,"Otili,Orela,viovio",Pigeon pea,"Leaves, seeds","Smallpox,chickenpox,diuretic,laxative,haemostatic,astringent,measles,mouth wash."
638,Copaifera mildbraedii,Leguminosae,Ovbia-leke,"Copaiva,copaiba","Fruits,seeds","Cathartic,diuretic,stimulant"
639,Brillantaisia patula,Acanthaceae,Owo,Brillantaisia,Leaves,"Yaws,diarrhoea,ease labour,dysmenorrhoea,chest pain,convulsion"
640,Gossypium barbadense  ,Malvaceae,"Owu,akese,gwandi,Olulu ogho,Owula",West indian Cotton,"Leaves, roots, seeds","Convulsions, dysentery,asthma,antipyretic,hypertension, ulcers,contraceptive,  relieve menstrual cycle disorders,emmenagogue,abortfacient,ease labour"
641,Oldelandia corymbosa,Rubiaceae,"Oyigi,Raatsa-hanji",Oldelandia,Whole plant,"Antipyretic, ease labour, nervous disorders,haemostatic, venereal disorders, antidote to snake venom"
642,Craterispermum laurinum,Rubiaceae,Ozoh,Alum bark,"Inner bark,leaves","Gonorrhoea, schistosomiasis,vermifuge,fever,aphrodisiac,malaria,jaundice,eye trouble"
643,Massularia acuminata  ,Rubiaceae,Pako-Ijebu,Ijebu chewing stick,"Root, stem bark","Aphrodisiac, lumbago, cough, mental sickness.,anticariogenic"
644,Kigelia africana,Bignoniaceae,"Pandoro,iyan,Rawuya,Uturubein",Sausage tree,"Root, stem bark, fruits, leaves","Kidney disorders, malaria, dysentery, rheumatism,gonorrhoea.,haemorrhage,spleen infection,astringent,leucorrhoea,cough."
